Comment,Designator,Footprint,LCSC
Blue_LED,D1,0805_2012Metric_Pad1.15x1.40mm_HandSolder,C2293
4.7K,R1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17673
